time,open,high,low,close
2023-05-08T14:27:00-03:00,4135.14,4135.34,4134.71,4135.05
2023-05-08T14:28:00-03:00,4135,4135,4134.19,4134.43
2023-05-08T14:29:00-03:00,4134.47,4134.89,4134.41,4134.6
2023-05-08T14:30:00-03:00,4134.63,4135.93,4134.63,4135.92
2023-05-08T14:31:00-03:00,4135.95,4136.66,4135.78,4136.46
2023-05-08T14:32:00-03:00,4136.49,4137.06,4136.38,4136.9
2023-05-08T14:33:00-03:00,4136.93,4137.46,4136.89,4137.2
2023-05-08T14:34:00-03:00,4137.2,4137.2,4136.75,4136.84
2023-05-08T14:35:00-03:00,4136.85,4137.29,4136.68,4136.68
2023-05-08T14:36:00-03:00,4136.68,4137.23,4136.2,4137.16
2023-05-08T14:37:00-03:00,4137.17,4137.17,4136.27,4136.27
2023-05-08T14:38:00-03:00,4136.17,4136.52,4136,4136.52
2023-05-08T14:39:00-03:00,4136.53,4137.83,4136.52,4137.79
2023-05-08T14:40:00-03:00,4137.8,4138.14,4137.57,4137.57
2023-05-08T14:41:00-03:00,4137.61,4137.68,4137.18,4137.49
2023-05-08T14:42:00-03:00,4137.45,4137.45,4136.87,4136.92
2023-05-08T14:43:00-03:00,4136.91,4136.91,4136.16,4136.87
2023-05-08T14:44:00-03:00,4136.91,4137.51,4136.91,4137.16
2023-05-08T14:45:00-03:00,4137.17,4137.35,4136.94,4137.2
2023-05-08T14:46:00-03:00,4137.24,4138.93,4137.24,4138.9
2023-05-08T14:47:00-03:00,4138.95,4139.23,4138.41,4138.68
2023-05-08T14:48:00-03:00,4138.65,4138.73,4138.24,4138.73
2023-05-08T14:49:00-03:00,4138.71,4138.82,4138.37,4138.37
2023-05-08T14:50:00-03:00,4138.23,4138.23,4137.77,4137.77
2023-05-08T14:51:00-03:00,4137.8,4137.98,4137.36,4137.98
2023-05-08T14:52:00-03:00,4137.96,4138.55,4137.93,4138.09
2023-05-08T14:53:00-03:00,4138.08,4138.08,4137.48,4137.77
2023-05-08T14:54:00-03:00,4137.78,4138.1,4137.58,4137.58
2023-05-08T14:55:00-03:00,4137.59,4137.98,4137.21,4137.98
2023-05-08T14:56:00-03:00,4137.95,4138.23,4137.68,4138.11
2023-05-08T14:57:00-03:00,4138.16,4138.36,4137.78,4137.78
2023-05-08T14:58:00-03:00,4137.79,4138.33,4137.61,4138.3
2023-05-08T14:59:00-03:00,4138.34,4138.52,4137.82,4137.9
2023-05-08T15:00:00-03:00,4137.89,4139.27,4137.89,4138.99
2023-05-08T15:01:00-03:00,4139.12,4139.8,4139.07,4139.8
2023-05-08T15:02:00-03:00,4139.84,4139.88,4139.09,4139.25
2023-05-08T15:03:00-03:00,4139.29,4139.34,4138.17,4138.28
2023-05-08T15:04:00-03:00,4138.31,4138.31,4135.88,4136.18
2023-05-08T15:05:00-03:00,4136.22,4136.22,4135.44,4135.61
2023-05-08T15:06:00-03:00,4135.78,4136.01,4133.31,4133.31
2023-05-08T15:07:00-03:00,4133.34,4133.42,4125.88,4125.97
2023-05-08T15:08:00-03:00,4125.89,4126.5,4123.81,4126.5
2023-05-08T15:09:00-03:00,4126.57,4128.55,4126.53,4127.86
2023-05-08T15:10:00-03:00,4127.73,4127.92,4126.68,4126.93
2023-05-08T15:11:00-03:00,4126.94,4128.54,4126.94,4128.53
2023-05-08T15:12:00-03:00,4128.63,4131.3,4128.63,4130.6
2023-05-08T15:13:00-03:00,4130.63,4131.32,4130.31,4131.21
2023-05-08T15:14:00-03:00,4131.2,4131.41,4130.49,4130.62
2023-05-08T15:15:00-03:00,4130.63,4131.61,4130.37,4130.83
2023-05-08T15:16:00-03:00,4130.89,4132.78,4130.89,4132.78
2023-05-08T15:17:00-03:00,4132.84,4133.23,4132.46,4133.07
2023-05-08T15:18:00-03:00,4133.06,4133.33,4132.88,4133.33
2023-05-08T15:19:00-03:00,4133.28,4133.68,4132.94,4133.67
2023-05-08T15:20:00-03:00,4133.71,4136.05,4133.7,4136.05
2023-05-08T15:21:00-03:00,4136.13,4137.95,4136.13,4137.95
2023-05-08T15:22:00-03:00,4137.99,4138.2,4137.32,4138.01
2023-05-08T15:23:00-03:00,4138.03,4138.51,4137.9,4138.36
2023-05-08T15:24:00-03:00,4138.37,4138.66,4137.57,4138.35
2023-05-08T15:25:00-03:00,4138.36,4138.36,4137.22,4137.38
2023-05-08T15:26:00-03:00,4137.42,4137.82,4137.07,4137.25
2023-05-08T15:27:00-03:00,4137.59,4138.28,4136.94,4138.1
2023-05-08T15:28:00-03:00,4138.11,4138.12,4137.67,4137.67
2023-05-08T15:29:00-03:00,4137.68,4137.96,4137.3,4137.96
2023-05-08T15:30:00-03:00,4137.99,4139.26,4137.99,4138.72
2023-05-08T15:31:00-03:00,4138.75,4139.09,4138.36,4138.97
2023-05-08T15:32:00-03:00,4138.97,4139.24,4138.34,4139.14
2023-05-08T15:33:00-03:00,4139.18,4139.22,4138.57,4138.8
2023-05-08T15:34:00-03:00,4138.81,4139.22,4138.57,4139.12
2023-05-08T15:35:00-03:00,4139.12,4139.41,4138.52,4138.97
2023-05-08T15:36:00-03:00,4139,4139.56,4138.91,4139.23
2023-05-08T15:37:00-03:00,4139.29,4139.9,4139.22,4139.27
2023-05-08T15:38:00-03:00,4139.32,4139.32,4138.18,4138.61
2023-05-08T15:39:00-03:00,4138.67,4139.27,4138.35,4138.76
2023-05-08T15:40:00-03:00,4138.79,4138.79,4137.83,4138.48
2023-05-08T15:41:00-03:00,4138.55,4140.2,4138.09,4140.2
2023-05-08T15:42:00-03:00,4140.39,4140.66,4140.08,4140.28
2023-05-08T15:43:00-03:00,4140.26,4140.3,4139.54,4139.91
2023-05-08T15:44:00-03:00,4139.95,4140.05,4139.81,4139.81
2023-05-08T15:45:00-03:00,4139.8,4139.8,4138.82,4139.04
2023-05-08T15:46:00-03:00,4139.08,4139.65,4139.08,4139.65
2023-05-08T15:47:00-03:00,4139.62,4140.74,4139.62,4140.74
2023-05-08T15:48:00-03:00,4140.77,4141.08,4140.69,4140.83
